date,open,close,high,low,volume,成交额,振幅,涨跌幅,涨跌额,换手率
2015-01-05,1.275,1.393,1.413,1.273,225055,60941046.0,11.01,9.51,0.121,0.36
2015-01-06,1.377,1.388,1.446,1.342,266903,73328078.0,7.47,-0.36,-0.005,0.43
2015-01-07,1.377,1.378,1.387,1.345,117134,31808640.0,3.03,-0.72,-0.01,0.19
2015-01-08,1.377,1.315,1.381,1.307,311368,83675129.0,5.37,-4.57,-0.063,0.5
2015-01-09,1.309,1.298,1.402,1.277,135161,36352249.0,9.51,-1.29,-0.017,0.22
2015-01-12,1.304,1.244,1.304,1.213,150428,39064572.0,7.01,-4.16,-0.054,0.24
2015-01-13,1.236,1.247,1.256,1.228,75771,19667179.0,2.25,0.24,0.003,0.12
2015-01-14,1.253,1.238,1.276,1.233,65631,17129185.0,3.45,-0.72,-0.009,0.11
2015-01-15,1.238,1.314,1.318,1.229,79598,20931306.0,7.19,6.14,0.076,0.13
2015-01-16,1.317,1.339,1.362,1.315,78460,21153078.0,3.58,1.9,0.025,0.13
2015-01-19,1.267,1.093,1.267,1.078,221445,55832463.0,14.12,-18.37,-0.246,0.36
2015-01-20,1.157,1.153,1.173,1.109,150521,36389162.0,5.86,5.49,0.06,0.24
2015-01-21,1.153,1.254,1.27,1.153,101574,25250744.0,10.15,8.76,0.101,0.16
2015-01-22,1.257,1.255,1.267,1.232,79135,19956788.0,2.79,0.08,0.001,0.13
2015-01-23,1.258,1.252,1.291,1.245,109396,27780486.0,3.67,-0.24,-0.003,0.18
2015-01-26,1.254,1.283,1.285,1.237,50936,12880860.0,3.83,2.48,0.031,0.08
2015-01-27,1.277,1.264,1.281,1.22,61173,15466068.0,4.75,-1.48,-0.019,0.1
2015-01-28,1.258,1.246,1.272,1.234,34158,8617628.0,3.01,-1.42,-0.018,0.06
2015-01-29,1.237,1.222,1.237,1.2,61651,15380519.0,2.97,-1.93,-0.024,0.1
2015-01-30,1.224,1.204,1.243,1.195,74112,18479529.0,3.93,-1.47,-0.018,0.12
2015-02-02,1.195,1.133,1.195,1.127,67982,16415282.0,5.65,-5.9,-0.071,0.11
2015-02-03,1.137,1.169,1.172,1.129,54481,13176120.0,3.8,3.18,0.036,0.09
2015-02-04,1.176,1.15,1.192,1.149,49844,12196689.0,3.68,-1.63,-0.019,0.08
2015-02-05,1.197,1.113,1.226,1.107,80811,19688471.0,10.35,-3.22,-0.037,0.13
2015-02-06,1.105,1.052,1.105,1.039,80908,18974795.0,5.93,-5.48,-0.061,0.13
2015-02-09,1.05,1.053,1.073,1.027,79842,18531968.0,4.37,0.1,0.001,0.13
2015-02-10,1.045,1.1,1.103,1.045,85418,20085482.0,5.51,4.46,0.047,0.14
2015-02-11,1.112,1.105,1.115,1.097,38253,9109987.0,1.64,0.45,0.005,0.06
2015-02-12,1.107,1.11,1.113,1.086,36295,8616236.0,2.44,0.45,0.005,0.06
2015-02-13,1.114,1.137,1.163,1.114,44424,10715641.0,4.41,2.43,0.027,0.07
2015-02-16,1.14,1.146,1.148,1.129,83869,20272269.0,1.67,0.79,0.009,0.14
2015-02-17,1.146,1.169,1.175,1.146,104454,25420443.0,2.53,2.01,0.023,0.17
2015-02-25,1.175,1.156,1.18,1.147,44441,10859661.0,2.82,-1.11,-0.013,0.07
2015-02-26,1.154,1.23,1.232,1.154,74432,18384004.0,6.75,6.4,0.074,0.12
2015-02-27,1.227,1.23,1.24,1.217,66562,16654195.0,1.87,0.0,0.0,0.11
2015-03-02,1.238,1.254,1.257,1.227,157395,39465626.0,2.44,1.95,0.024,0.25
2015-03-03,1.253,1.222,1.253,1.221,103472,25974884.0,2.55,-2.55,-0.032,0.17
